abstract 简报,title 标题,keywords 关键词,read_count 阅读量,share_count 分享数量,ban_comment 可评论,publish_time 推送时间,share_url url 链接,user_info_name 用户名,user_id 用户 id,description 用户描述,user_verified 官方账号,time 抓取时间,category 频道
	2018年12月23日提请十三届全国人大常委会第七次会议审议的《国务院关于生育保险和职工基本医疗保险合并实施试点工作总结的报告》指出，两项保险合并实施试点取得积极成效。,重磅信号！“5险1金”要变“4险1金”,"生育,经办,社会保险基金,女职工劳动保护特别规定,社会保险,中华人民共和国社会保险法,试点,社会保险法",122586,193,0,2019-01-22 08:54:29,http://m.toutiao.com/a6649118195544228366/?iid=1234876543&app=news_article&is_hit_share_recommend=0,天津二中院,51051364484,天津二中院审判执行、队伍建设以及廉政监督方面的工作,True,2019-01-22 17:59:40,selected
干豆角红烧肉的做法，五花肉这样做菜，一盘不够吃，好吃不油腻，红烧肉的创新做法,大厨教你：红烧肉的简单做法，0基础都能学会，而且好吃不油腻,"红烧肉,大厨,五花肉,干豆角",38542,489,0,2019-01-03 20:35:32,http://m.toutiao.com/a6642248239162622467/?iid=1234876543&app=news_article&is_hit_share_recommend=0,厨师秀,6536994727,专业菜谱制作经验分享，餐饮经营思路分享,True,2019-01-22 17:59:40,selected
胆囊结石发生的危险因素,胆囊结石发生的危险因素,胆囊结石,1,0,0,2019-01-22 17:34:08,http://m.toutiao.com/a6649252110284096007/?iid=1234876543&app=news_article&is_hit_share_recommend=0,名医在线网,3639543717,权威视频健康服务平台,True,2019-01-22 17:59:40,selected
多党合作和政治协商制度，是人类政治发展史上的伟大政治创造,她是中国唯一一位没有缺席连任任何一届的连任代表，你知道她吗？,"政治,多党合作,政治协商制度",179513,858,0,2019-01-21 18:58:33,http://m.toutiao.com/a6648902779479785991/?iid=1234876543&app=news_article&is_hit_share_recommend=0,CETV师说,108267837998,中国教育电视台《师说》栏目,True,2019-01-22 17:59:40,selected
酒店里都是这样切黄瓜，难怪切得那么好看，还不学就亏了,酒店里都是这样切黄瓜，难怪切得那么好看，还不学就亏了,黄瓜,472088,377,0,2018-12-28 19:10:05,http://m.toutiao.com/a6639991526321553927/?iid=1234876543&app=news_article&is_hit_share_recommend=0,小雄美食平台,51529786901,小雄哥教你做菜，让美食和健康伴随你！,True,2019-01-22 17:59:40,selected
栈桥故事会《义娶》（上）05,丈夫撞见妻子出轨，她却谎称自己在上海，挂了电话的他这样选择,"出轨,故事会,义娶,上海",573893,1244,0,2019-01-12 21:29:27,http://m.toutiao.com/a6632560988635791880/?iid=1234876543&app=news_article&is_hit_share_recommend=0,蓝睛,52695938217,青岛市广播电视台的官方融媒体（视音频新闻首发）发布平台。,True,2019-01-22 17:59:40,selected
江西卫视非遗美食,非遗美食——蝲蛄豆腐,"豆腐,江西卫视",116025,555,0,2018-11-11 09:16:00,http://m.toutiao.com/a6621665016871387651/?iid=1234876543&app=news_article&is_hit_share_recommend=0,中国非遗美食,99513752651,江西卫视每周四晚21:25播出《非遗美食》节目,False,2019-01-22 17:59:40,selected
一个红薯2个鸡蛋，不蒸，不烤，不油炸，健康美味，太好吃了,一个红薯2个鸡蛋，不蒸，不烤，不油炸，健康美味，太好吃了,"鸡蛋,美味,红薯",1562734,45029,0,2018-12-18 18:29:26,http://m.toutiao.com/a6636278379123311117/?iid=1234876543&app=news_article&is_hit_share_recommend=0,阿玉爱美食,80302301017,今天吃什么，这是我想的也是你想知道的,True,2019-01-22 17:59:40,selected
2019年1月21日，省部级主要领导干部坚持底线思维着力防范化解重大风险专题研讨班在中央党校开班。	习近平在讲话中提到“需要有充沛顽强的斗争精神”、“既要打好防范和抵御风险的有准备之战，也要打好化险为夷、转危为机的战略主动战”，并作出一系列部署。,如何打好防范化解重大风险之战，习近平这样部署,"防范化解,习近平,领导干部,省部级,斗争精神",174558,913,0,2019-01-22 16:23:34,http://m.toutiao.com/a6649233923232498180/?iid=1234876543&app=news_article&is_hit_share_recommend=0,央视网新闻,50025817786,央视网原创内容，包含热点解析，精彩图片，说新闻等。,True,2019-01-22 17:59:43,selected
京津冀协同发展战略自2014年开始实施，已经5年了。京津冀三地发生了哪些变化？未来又会给大家带来怎样的惊喜？1月16日至18日，习近平在京津冀考察调研透露了京津冀协同发展重要信号。让我们跟随“习近平的足迹”一探究竟。,习近平的足迹丨京津冀联手共绘新蓝图,"京津冀,李永升,习近平,中国新华新闻电视网,足迹",184906,1055,0,2019-01-21 20:09:33,http://m.toutiao.com/group/6648921074199167495/?iid=1234876543&app=news_article&is_hit_share_recommend=0,新华社客户端,3564799576,新华社客户端依托国家通讯社遍布全球的新闻信息采集网络，全天候发布一手新闻资讯。,True,2019-01-22 17:59:43,selected
卤菜 美味食谱 家常菜 下酒菜 猪头肉 40岁老师傅秘制卤猪头肉做法，几十年老味道，学到就是赚到！自制卤猪头肉，秘制配方比例告诉你，学会过年宴客倍有面！,40岁老师傅秘制卤猪头肉做法，几十年老味道，学到就是赚到！,"猪头肉,家常菜,卤猪头肉,秘制,老师傅",941,6,0,2019-01-22 17:18:12,http://m.toutiao.com/a6649248002630222340/?iid=1234876543&app=news_article&is_hit_share_recommend=0,刘一手美食,76320526473,我是刘一手美食老刘，每天教您一道菜，让您秒变神厨！,True,2019-01-22 17:59:43,selected
照片显示，“唐纳德·库克”号导弹驱逐舰19日穿越博斯普鲁斯海峡进入黑海，目前已抵达格鲁吉亚港口并将停留至本月25日，在此期间，“库克”号将与格鲁吉亚海岸警卫队举行联合军演。,美俄黑海对峙 美军公布战舰进入黑海照片,"美国,格鲁吉亚,俄罗斯,黑海,黑海舰队",36014,9,0,2019-01-22 11:31:05,http://m.toutiao.com/group/6649158551132439054/?iid=1234876543&app=news_article&is_hit_share_recommend=0,国际在线,3528285997,国际在线于1998年12月26日正式发布，是由中国国际广播电台主办的国家重点新闻网站，通过61种语言对全球进行传播，是全球语言种类最多、传播地域最广、影响人群最大的多语种、多应用、多终端的网站集群。,True,2019-01-22 17:59:43,selected
1月20日，一辆运鱼货车在浙江丽水某行车隧道内爆胎，车辆失控翻车，3000多公斤鲜活的红鲤鱼在近100米的路面上活蹦乱跳。,运鱼货车爆胎 3000公斤锦鲤隧道蹦迪,"货车,视频,蹦迪,隧道,爆胎",401,2,0,2019-01-21 17:55:39,http://m.toutiao.com/a6648886569665036814/?iid=1234876543&app=news_article&is_hit_share_recommend=0,渭南青年门户网,3852363346,青年有所呼，我们有所应。,False,2019-01-22 17:59:43,selected
其中：济南法院依法对4起涉恶势力犯罪案件进行集中宣判：济南中院对张学文等16人恶势力犯罪集团案件进行二审宣判。,扫黑除恶｜共67人！这8起黑恶势力犯罪和“保护伞”犯罪案件集中宣判！,"李建刚,张学平,王志东,张学文,犯罪集团",21893,36,0,2019-01-22 11:43:19,http://m.toutiao.com/group/6649161704707981838/?iid=1234876543&app=news_article&is_hit_share_recommend=0,山东高法,4313551411,山东省高级人民法院官方头条号,True,2019-01-22 17:59:43,selected
2张豆腐皮，半斤五花肉，轻轻一卷，下锅一煮，好看又好吃,2张豆腐皮，半斤五花肉，轻轻一卷，下锅一煮，好看又好吃,"五花肉,下锅",1601,11,0,2019-01-21 17:38:46,http://m.toutiao.com/a6648882217021866504/?iid=1234876543&app=news_article&is_hit_share_recommend=0,掌上家常菜,67187236812,这里的美食，有家的味道。,True,2019-01-22 17:59:43,selected
如今电灯分为了很多种，从以前传统的白炽灯，到现在流行的LED灯，不得不说的是科技的进步在家装行业里也得到了完美的诠释。开关问题1、开关质量差开关自身绝缘性不好，导致断开开关后，内部依然有虚接。,电灯关掉后依然闪烁怎么办？老电工教你1招，彻底解决故障！,"电灯,零线,白炽灯,开关,绝缘性",297223,1379,0,2019-01-19 09:24:24,http://m.toutiao.com/group/6648012651555193348/?iid=1234876543&app=news_article&is_hit_share_recommend=0,房天下资讯,3365711366,房天下提供行业动态、房产资讯，为您开启一站式购房服务！,False,2019-01-22 17:59:43,selected
父母被小儿子赶去住茅厕，儿媳恶语相向：都八十多了还不死！,儿子建成新房后，将父母赶去住茅厕，儿媳：都八十多了还不死！,儿媳,254423,629,0,2019-01-02 17:14:17,http://m.toutiao.com/a6641740139422810638/?iid=1234876543&app=news_article&is_hit_share_recommend=0,江西都市情缘,96564703243,江西广播电视台都市频道：都市情缘,True,2019-01-22 17:59:43,selected
阴差阳错 19岁亡命天涯 一场答谢宴引发的血案,阴差阳错 19岁亡命天涯 一场答谢宴引发的血案,"阴差阳错,亡命天涯",47360,202,0,2019-01-10 16:09:27,http://m.toutiao.com/a6644777264842015246/?iid=1234876543&app=news_article&is_hit_share_recommend=0,央视网新闻,50025817786,央视网原创内容，包含热点解析，精彩图片，说新闻等。,True,2019-01-22 17:59:43,selected
­近日，有外媒发现，苹果在北美官网对iPhoneSE进行了促销，跟以往不同的是，这不是翻新机而是地地道道的全新机。,iPhone se促销清仓售价便宜700左右：没买到就可惜了,"苹果iphone,玫瑰金,苹果官网,iPhone SE,iphone",44273,19,0,2019-01-22 09:23:28,http://m.toutiao.com/group/6649125666283323907/?iid=1234876543&app=news_article&is_hit_share_recommend=0,福建闽南网,5774468067,闽南网由福建日报社（集团）主管主办。,True,2019-01-22 17:59:43,selected
奥迪再陷“污染门”，4年过去还是有刺鼻的气味，车主铁心要维权！,男子曾花费28万买奥迪车，4年过去，车内还总有刺鼻的气味！,"奥迪车,污染门,气味,奥迪",22,0,0,2019-01-22 17:19:57,http://m.toutiao.com/a6649248453589221892/?iid=1234876543&app=news_article&is_hit_share_recommend=0,视听云南,100714199572,云南广电网络台新媒体官方账号,True,2019-01-22 17:59:43,selected
城乡居民养老金调整：全国有1.,好消息！城乡居民养老金调整幅度已确定，你涨了多少钱？,养老金,400310,1153,0,2019-01-21 18:25:52,http://m.toutiao.com/a6648894357954888205/?iid=1234876543&app=news_article&is_hit_share_recommend=0,胡观世事,58887397322,理性分析与百姓息息相关的事儿，服务百姓生活。,True,2019-01-22 17:59:43,selected
主人把香猪养成狗，上场后尾巴摇的跟狗狗一样，竟还会“说谢谢”hp,主人把香猪养成狗，上场后尾巴摇的跟狗狗一样，竟还会“说谢谢”,"狗狗,香猪",9977,76,0,2019-01-22 14:01:13,http://m.toutiao.com/a6649197241368068622/?iid=1234876543&app=news_article&is_hit_share_recommend=0,吉林卫视官方号,62121706627,情动中国吉林卫视，吉林卫视头条官方账号,True,2019-01-22 17:59:43,selected
厨师长教你河南正宗炒面条的做法，食材简单，营养美味，这种老式炒面，很多人都不会炒，做法确实比较复杂，但是味道就是好吃，特别是配上老式鸡蛋汤，那味道真是太美了，视频清晰详细，让你一看就会。,河南即将消失的炒面条，生面条直接上锅炒，厨师长教你正宗的做法,"食材,厨师长,面条,鸡蛋汤,河南",183098,3940,0,2018-12-11 10:30:00,http://m.toutiao.com/a6633401446752584195/?iid=1234876543&app=news_article&is_hit_share_recommend=0,第一名厨,5557205973,探店美食，热爱厨艺，分享生活中的点点滴滴。,True,2019-01-22 17:59:43,selected
刘敏涛只是剪掉长发变波波头，居然意外走红，减龄又时尚。剪好发型之后，记得让发型师给你做一个“水波纹”的纹理烫发，这样你的头发才有蓬松感，层次感，纹理感，保证你能马上get到时尚元素，发尾可以做小小的外翻，显得更加灵动优雅大气，魅力十足。,43岁刘敏涛剪掉10年长发，波波头发型意外减龄，秒变23岁青春少女,"波波头,美美哒,开叉裙,人鬼情缘、福贵、琅琊榜,剪短发,刘敏涛",14212,5,0,2019-01-22 16:02:58,http://m.toutiao.com/group/6649228617131753987/?iid=1234876543&app=news_article&is_hit_share_recommend=0,未视界,61660169450,未来网 — 中央新闻网站,True,2019-01-22 17:59:43,selected
这些被钓上来的鱼大多是金枪鱼，它们在繁殖期间数量非常之多，有经验的钓鱼者不断甩动鱼竿，鱼就从海里不断被拉上来。,一群人在大海上钓鱼，几乎每一秒都有鱼上钩，到底发生了什么？,"钓鱼者,金枪鱼",503386,810,0,2018-12-16 09:24:00,http://m.toutiao.com/a6635179996031746568/?iid=1234876543&app=news_article&is_hit_share_recommend=0,乌龟动物,67399130366,专注动物领域，分享最有趣的动物原创视频！,False,2019-01-22 17:59:43,selected
回顾2018，对于有的汽车厂商们来说可谓是收获颇丰，它们旗下有很多的车型被消费者所认知和熟悉，销量也是相当不错。,买车的都看看，2018年销量最好的15个汽车品牌出炉，丰田未进前十,"上汽,RAV4,凯美瑞,卡罗拉,帕萨特,上汽通用,丰田,吉利汽车,一汽,丰田汽车,上汽大众",341239,342,0,2019-01-15 20:14:02,http://m.toutiao.com/a6646695688979612173/?iid=1234876543&app=news_article&article_category=automobile&is_hit_share_recommend=0,优视汽车,6165220499,汽车资讯，用车养车专家，我们从各个角度来解读买车用车知识。,True,2019-01-22 17:59:43,selected
2019年1月21日，省部级主要领导干部坚持底线思维着力防范化解重大风险专题研讨班在中央党校开班。	习近平在讲话中提到“需要有充沛顽强的斗争精神”、“既要打好防范和抵御风险的有准备之战，也要打好化险为夷、转危为机的战略主动战”，并作出一系列部署。,如何打好防范化解重大风险之战，习近平这样部署,"斗争精神,防范化解,习近平,领导干部,省部级",178839,947,0,2019-01-22 16:23:34,http://m.toutiao.com/a6649233923232498180/?iid=1234876543&app=news_article&is_hit_share_recommend=0,央视网新闻,50025817786,央视网原创内容，包含热点解析，精彩图片，说新闻等。,True,2019-01-22 17:59:47,selected
京津冀协同发展战略自2014年开始实施，已经5年了。京津冀三地发生了哪些变化？未来又会给大家带来怎样的惊喜？1月16日至18日，习近平在京津冀考察调研透露了京津冀协同发展重要信号。让我们跟随“习近平的足迹”一探究竟。,习近平的足迹丨京津冀联手共绘新蓝图,"李永升,习近平,中国新华新闻电视网,足迹,京津冀",184906,1055,0,2019-01-21 20:09:33,http://m.toutiao.com/group/6648921074199167495/?iid=1234876543&app=news_article&is_hit_share_recommend=0,新华社客户端,3564799576,新华社客户端依托国家通讯社遍布全球的新闻信息采集网络，全天候发布一手新闻资讯。,True,2019-01-22 17:59:47,selected
美食，家常菜，白菜最好吃的做法，又香又下饭，上桌就抢光,白菜和粉条这样炖，好吃浓香又下饭，大饭店都吃不到,"粉条,白菜,浓香,大饭店,家常菜",16912,224,0,2018-11-01 19:54:49,http://m.toutiao.com/a6618859378554454541/?iid=1234876543&app=news_article&is_hit_share_recommend=0,今天咋吃饭,82700818015,定期分享美味可口的家常饭,True,2019-01-22 17:59:47,selected
昨日是春运第一天，为了让奔波的旅客在归乡途中感受到浓厚的年味儿和祝福，来自包头站的80余名“小蜜蜂”在候车大厅为旅客们带来了一场春运“快闪”活动。,80余名大学生志愿者候车厅玩“快闪” 助力春运送祝福,"包头铁道职业技术学院,候车厅,大学生志愿者,春运,快闪",201,0,0,2019-01-22 16:51:32,http://m.toutiao.com/a6649241129566863875/?iid=1234876543&app=news_article&is_hit_share_recommend=0,中青网教育,5787297357,讲好校园故事，传播教育好声音。,True,2019-01-22 17:59:47,selected
大厨教你做湖南臭桂鱼，鱼肉劲道，闻着臭吃着却有鲜香的味道,大厨教你做湖南臭桂鱼，鱼肉劲道，闻着臭吃着却有鲜香的味道,"鲜香,臭桂鱼,湖南,大厨,鱼肉",23,0,0,2019-01-22 17:17:19,http://m.toutiao.com/a6649247776594985475/?iid=1234876543&app=news_article&is_hit_share_recommend=0,贵州台科教健康频道,108792216956,普及现代科学技术知识，传播现代教育理念，推崇健康文明生活方式,True,2019-01-22 17:59:47,selected
日媒称，日本大阪府警方日前以涉嫌擅自销售医药品、违反《医药品医疗器械法》为由。逮捕了埼玉县草加市医药品批发公司“美健销售”社长增谷健一及另一家医药品批发公司的2名中国籍前员工。,日本警方逮捕两名中国人 日媒：未经许可向中国留学生卖药,"埼玉县,日本经济新闻,医药品,日本,大阪府,医药品医疗器械法",114130,112,0,2019-01-21 21:17:18,http://m.toutiao.com/group/6648938534323356173/?iid=1234876543&app=news_article&is_hit_share_recommend=0,中国经济网,50502346296,中国经济网，传递有价值的信息,True,2019-01-22 17:59:47,selected
下面要说的这位妹子，就是其中一位到韩国整容的游客↓↓↓今年21岁的Jenny，是一名生活在洛杉矶的亚裔美国人，在之前，她决定前往韩国整容，并且把这趟整容历程全部记录了下来。,她录下自己前往韩国整容的整个过程，这条所谓变美的捷径也不容易,"Jenny,亚裔美国人,妹子,↓ ↓,韩国",175701,329,0,2019-01-22 09:29:46,http://m.toutiao.com/a6649127290103923213/?iid=1234876543&app=news_article&is_hit_share_recommend=0,女刊瘦美人最减肥,5803057329,《女刊瘦美人》创刊12年，减肥读者3亿人，减重累计10亿斤。,True,2019-01-22 17:59:47,selected
土豆新吃法，媳妇在家炒一锅土豆面食，老公减肥一口没吃,土豆新吃法，一蒸一搓，麻辣爽口，媳妇一次一大盘不够吃,大盘,35284,159,0,2019-01-21 19:17:46,http://m.toutiao.com/a6648907731509969421/?iid=1234876543&app=news_article&is_hit_share_recommend=0,小胖在西北,59091192551,淳朴真实的两个西北90后。,True,2019-01-22 17:59:47,selected
小黄瓜咸菜，下饭菜，开胃小菜，小黄瓜咸菜,源子：小黄瓜这样腌出来又脆又香，做法简单，超级下饭,"下饭菜,小黄瓜,下饭",31433,83,0,2019-01-21 18:16:55,http://m.toutiao.com/a6648892049846174212/?iid=1234876543&app=news_article&is_hit_share_recommend=0,农村源子,58908548084,看源子视频，让你感受家的味道,True,2019-01-22 17:59:47,selected
"农村 三农 农业 农民 配方 秘制 简单好吃的炒粉条,筋道美味有营养保证您喜欢，喜欢就请点击关注，收藏 转发 点赞 分享，如果您有什么意见和建议，欢迎在下方评论区留言，大家互相探讨",1把粉条2个鸡蛋，教你懒人做法，5分钟就能出锅，比吃肉还过瘾,"吃肉,农村,粉条,鸡蛋,农业",440170,5300,0,2018-12-04 10:22:11,http://m.toutiao.com/a6630957622688219651/?iid=1234876543&app=news_article&is_hit_share_recommend=0,厨人美食,59163834800,提供健康、绿色美食制作秘籍,True,2019-01-22 17:59:47,selected
女子进网吧厕所 垃圾桶内生下男婴就走了 一点声音都没有发出,女子进网吧厕所 垃圾桶内生下男婴就走了 一点声音都没有发出,"男婴,厕所,垃圾桶",10467,101,0,2019-01-20 18:20:39,http://m.toutiao.com/a6648521925255496200/?iid=1234876543&app=news_article&is_hit_share_recommend=0,江西五套新闻晚高峰,97339476022,江西五套《新闻晚高峰》栏目官方头条号,True,2019-01-22 17:59:47,selected
癌症少女7：顾洁圆梦成人礼，全校师生准备的神秘环节让她感动    顾洁如愿的参加了成人礼，面对全校师生的鼓励她感动得落泪,癌症少女终于实现了心愿！善良的同学们，又将为她带来什么感动？,"少女,成人礼",12,0,0,2019-01-22 17:19:46,http://m.toutiao.com/a6649153265898357256/?iid=1234876543&app=news_article&is_hit_share_recommend=0,BTV生命缘,105269105184,本号选取全国权威性医疗资源和高难病例，记录当事人医学奇迹,True,2019-01-22 17:59:47,selected
因长得太帅曾被公司当成偶像来包装，他的歌是很多人初高中的回忆,因长得太帅曾被公司当成偶像来包装，他的歌是很多人初高中的回忆,偶像,471428,326,0,2019-01-21 19:27:38,http://m.toutiao.com/a6648829253120950797/?iid=1234876543&app=news_article&is_hit_share_recommend=0,万有引荔,64663492329,荔枝台狂热粉 娱乐精彩内容、王牌综艺、精彩剧情、明星独家呈现,True,2019-01-22 17:59:47,selected
1蜂蜜感冒了多半会咳嗽，而蜂蜜有止咳的作用，于是很多人感冒时会喝蜂蜜缓解咳嗽症状。另外，蜂蜜主要通过润肺来达到止咳作用，感冒引起的咳嗽多因外感所致，不宜滋补，最好不要喝蜂蜜。,「提醒」近期流感盛行，这8种食物最好别碰，可能加重病情！,"蜂蜜,预防感冒,粗纤维,辛辣食物,感冒期间",12542,200,0,2019-01-22 15:25:55,http://m.toutiao.com/group/6649219067871756813/?iid=1234876543&app=news_article&is_hit_share_recommend=0,信阳电视网,6170294217,信阳电视网隶属信阳电视台，是信阳电视台唯一的官方资讯网站,False,2019-01-22 17:59:47,selected
2019年春运开启 数亿人上演“超级大迁徙” LMQ,2019年春运开启，春运变化大，引发网友热烈讨论,"春运,大迁徙",132,0,0,2019-01-22 15:59:46,http://m.toutiao.com/group/6649207243843568131/?iid=1234876543&app=news_article&is_hit_share_recommend=0,荔枝新闻,6976474883,第一时间关注江苏新闻现场，揭秘江苏卫视台前幕后。,True,2019-01-22 17:59:47,selected
国家应急管理部今天透露，首批消防员的招录工作近期即将开展，本次计划招3万人，其中面向社会招录1.8万人。,应急管理部：首批消防员招录近期开展，将面向社会招录1.8万人,"义务兵,消防救援,刘克辉,消防员,应急管理部",147133,1240,0,2019-01-22 11:36:25,http://m.toutiao.com/group/6649159926620881411/?iid=1234876543&app=news_article&is_hit_share_recommend=0,界面新闻,52857496566,中国高素质人群聚集的新闻及商业社交客户端，拒绝提供低俗新闻。,True,2019-01-22 17:59:47,selected
“爸爸每天都从吃早饭、起床、睡觉等时间来玩他的宝贝——手机。好像没了手机就活不下去了一样；又像一只饿了三天三夜的恶狼正盯着一块又大又肥的肉一样。,小学生满分作文：只要爸爸放下手机 我愿用生命换,小学生,330,0,0,2019-01-22 16:52:50,http://m.toutiao.com/group/6649241468630204941/?iid=1234876543&app=news_article&is_hit_share_recommend=0,光明网,5806115967,光明网是思想理论文化领域的中央重点新闻网站，媒体融合与创新的引领者。,True,2019-01-22 17:59:47,selected
电动车闯红灯危险重重被车撞，市民用手机录下惊险一幕,电动车闯红灯危险重重被车撞，市民用手机录下惊险一幕,"电动车,红灯",89659,483,0,2018-11-07 23:27:52,http://m.toutiao.com/a6621140792624808452/?iid=1234876543&app=news_article&is_hit_share_recommend=0,要闻集结号,100714561715,云南广电网络台新媒体官方账号,True,2019-01-22 17:59:47,selected
2019年1月21日，省部级主要领导干部坚持底线思维着力防范化解重大风险专题研讨班在中央党校开班。	习近平在讲话中提到“需要有充沛顽强的斗争精神”、“既要打好防范和抵御风险的有准备之战，也要打好化险为夷、转危为机的战略主动战”，并作出一系列部署。,如何打好防范化解重大风险之战，习近平这样部署,"防范化解,习近平,领导干部,省部级,斗争精神",174558,913,0,2019-01-22 16:23:34,http://m.toutiao.com/a6649233923232498180/?iid=1234876543&app=news_article&is_hit_share_recommend=0,央视网新闻,50025817786,央视网原创内容，包含热点解析，精彩图片，说新闻等。,True,2019-01-22 17:59:50,selected
